a,z,k_over_H0,kinetic_L_zeta_dot_zeta,gradient_G,sound_speed_sq,constraint_discriminant,kinetic_numerator,kinetic_cancellation_scale,scalar_kinetic_degenerate,Q,m5_bar_hat
1e-07,9999999.0,2053.525026457146,0.0,nan,nan,3.601200000000002e+52,0.0,4.3214400000000025e+39,1,1.0,-1.0383987420543768e-32
1e-07,9999999.0,3162.2776601683795,0.0,nan,nan,3.601200000000002e+52,0.0,4.3214400000000025e+39,1,1.0,-1.0383987420543768e-32
1e-07,9999999.0,4869.675251658631,0.0,nan,nan,3.601200000000002e+52,0.0,4.3214400000000025e+39,1,1.0,-1.0383987420543768e-32
1e-07,9999999.0,7498.942093324558,0.0,nan,nan,3.601200000000002e+52,0.0,4.3214400000000025e+39,1,1.0,-1.0383987420543768e-32
1e-07,9999999.0,11547.819846894581,0.0,nan,nan,3.601200000000002e+52,0.0,4.3214400000000025e+39,1,1.0,-1.0383987420543768e-32
1e-07,9999999.0,17782.794100389227,0.0,nan,nan,3.601200000000002e+52,0.0,4.3214400000000025e+39,1,1.0,-1.0383987420543768e-32
1e-07,9999999.0,27384.196342643612,0.0,nan,nan,3.601200000000002e+52,0.0,4.3214400000000025e+39,1,1.0,-1.0383987420543768e-32
1e-07,9999999.0,42169.65034285822,0.0,nan,nan,3.601200000000002e+52,0.0,4.3214400000000025e+39,1,1.0,-1.0383987420543768e-32
1e-07,9999999.0,64938.16315762113,0.0,nan,nan,3.601200000000002e+52,0.0,4.3214400000000025e+39,1,1.0,-1.0383987420543768e-32
1e-07,9999999.0,100000.0,0.0,nan,nan,3.601200000000002e+52,0.0,4.3214400000000025e+39,1,1.0,-1.0383987420543768e-32
1.399050314137293e-07,7147704.7679418605,0.0001,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,0.0001539926526059492,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,0.00023713737056616554,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,0.0003651741272548377,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,0.0005623413251903491,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,0.0008659643233600654,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,0.001333521432163324,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,0.002053525026457146,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,0.0031622776601683794,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,0.004869675251658631,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,0.007498942093324558,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,0.011547819846894581,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,0.01778279410038923,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,0.027384196342643614,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,0.042169650342858224,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,0.06493816315762113,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,0.1,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,0.1539926526059492,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,0.23713737056616552,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,0.3651741272548377,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,0.5623413251903491,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,0.8659643233600653,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,1.333521432163324,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,2.053525026457146,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,3.1622776601683795,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,4.869675251658631,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,7.498942093324558,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,11.547819846894582,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,17.78279410038923,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,27.384196342643612,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,42.169650342858226,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,64.93816315762113,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,100.0,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,153.9926526059492,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
